ID;Tweet;Keluhan;Respon;Bukan Keluhan/Respon;Kategori;Topik Umum; Topik Spesifik;Lokasi;Waktu 
6,78845E+17;@EL_Atheos @ridwankamil ya mungkin karena perempuan bj merah yg paling kelihatan karena berada di depan, laki2 jg sering jadi bahan joke RK;;;l;l;Bukan Keluhan;-;-;-
6,78846E+17;@ridwankamil @dbmpkotabdg kang teman saya tertimpa pohn dijln sangkuriang dpn polsek coblong tlg ditertibkan phn yg sdh lapuknuhun;k;;;k;Lingkungan Hidup;pohon tumbang;Jalan Sangkuriang depan Polsek Coblong;-
6,78847E+17;Di tribun jabar biasanya suka di post agenda kang emil. Tapi gak setiap hari sih. RT @Ry_ory: Klo saya k Bdg bs ketemu Kang @ridwankamil dmn;;;l;l;Bukan Keluhan;-;-;-
6,78847E+17;@dbmpkotabdg RT @fajriattack: Lapor pak @ridwankamil lampu penerangan jalan depan kampus lpkia ngaplek :(:(:( https://t.co/RNsU5cQHuq;k;;;k;Infrastruktur;lampu penerangan jalan umum;Jalan depan Kampus LPKIA;-
6,78849E+17;@diskamtam bapak/ibu mau tanya, kalo pemeliharaan taman2 yg banyak dibagun skr gimana nantinya?;;;l;l;Bukan Keluhan;-;-;-
6,78851E+17;Pa @ridwankamil tempat kerja saya tgl 25 tetep masuk. gimana itu aturannya pa? kalo misalnya ga masuk dipotong gaji https://t.co/u3L7XtJFgE;k;;;k;Bidang Lainnya;-;-;-
6,78851E+17;@pdamtirtawening@ridwankamil  00106700466, punten sudah seminggu air PDAM tidak mengalir. Mohon bantuannya segera...;k;;;k;Pengelolaan Air & Sumber Daya Alam;air tidak mengalir;-;satu minggu 
6,78853E+17;RT @KendiAdiputra: Anak SMA yang ketahuan mencuri helem di bip, hari ini pak @ridwankamil https://t.co/Zyz2bo4Ipk;k;;;k;Kriminalitas;pencurian / perampokan;BIP;-
6,78857E+17;@pdamtirtawening ternyata sudah ada warga yg konfirm ke pdam,katanya: air tidak akan mengalir selama 1 bulan krn ada perbaikan @ridwankamil;; ;l;l;Pengelolaan Air & Sumber Daya Alam;air tidak mengalir;-;satu bulan
6,78863E+17;Kang @ridwankamil, jalan di Muararajeun Baru, baru sebulanan dibenerin,udah rusak lagi. Yang ngerjain kaya ga serius https://t.co/yULuN5GC7n;k;;;k;Infrastruktur;jalan rusak;Jalan Muararajeun Baru ;satu bulanan
6,78865E+17;RT @AdamMaulud: Didinyamah kieu 👍 bosss! Kumaha pak? @ridwankamil daerah sapharuhai yeuh kang parkir liar seeur pisan atuhda-.- https://t.c…;k;;;k;Perhubungan;parkir sembarangan;daerah Sapharuhai ;-
